Year,Bb,Bcb,Bh,Bs,CONS,Deb,DEF1,DEF2,Eh,Es,Fb,Fcb,Fdf,Ff,FR,Fuf,gc,gi,gid,gim,GOV,gw,gx,gy,HBd,HBs,Hh,Hs,IM,INTb,INTf,INTgb,INTh,INV,K,Lf,Lh,Ls,Mh,Ms,Nd,Ns,NVh,OAb,OAcb,OAf,OAg,OAh,OAROW,OGD,OPB,OPBC,OPF,OPG,OPH,OPROW,P,P2,PercB,PF,Pi,Prod,R_b,R_star,RHO,TAX,TR,Un,Vb,Vcb,Vf,Vg,Vrow,w,WB,X,Y,YD,YRoW
1995,390728,106677,407383,-904788,581704,1179962.142,45757.85978,88273.33333,337925,-337925,170502.5711,-85956.71639,435525,602406,102368,166881,0.051758283,0.022017691,0.022017691,-0.034259571,172298,0.074269715,0.016803104,0.058313534,3915,-3915,42951,-42951,207651,39198,32051,101686,94539,198068,6501112.966,-480014,-166659,646673,642843,-642843,19924.5,22560.6,1543835,-366341,-25342,104059,-35320,279392,-231622.142,275174.142,154275.5711,10908,-8199,-60007,-101579.5711,4602,65.911,65.5,0.09,41.9248062,0.04770881,49.59938769,0.086177341,0.086875,0.006090134,251870,32837,0.116845297,32132,34469,-713880,-940108,43552,17.75633015,353786,243824,988243,733740,11869868.24
1996,439735,97558,490386,-1027679,611812,1245634.743,45867.00831,122891,370549,-370549,170647.9502,-79360.80428,472181,639062,81483,166881,0.051758283,0.022017691,0.022017691,-0.034269038,184246,0.064021391,0.016803104,0.058315617,4488,-4488,43739,-43739,200535,40561,28312,108261,96012,202429,6740807.14,-482938,-176991,659929,666811,-666811,20033.7,22737.8,1695871,-382052,-4908,100221,-27387,301377,-205206.743,217955.743,153243.9502,9954,-3838,-60612,-115330.9502,16583,68.882,68.5,0.08,44.65274041,0.045075936,52.20568342,0.086912316,0.084375,0.006730543,271075,32914,0.118925314,55289,44423,-753266,-1055066,12749,18.8931151,378499,247921,1045873,763848,12432671.32
1997,441026,92014,559156,-1092196,645631,1275875.312,20048.81306,64517,448317,-448317,145839.6942,-55776.46999,542045,667031,3264,124986,0.055276784,0.052359099,0.052359099,0.113341811,193160,0.044648077,0.064056695,0.044445167,4901,-4901,46923,-46923,223264,43203,28260,94403,79460,213028,6978508.254,-493212,-188351,681563,638201,-638201,20118.2,22865.7,1958659,-486783,14402,109222,-22817,454413,-252116.312,183679.312,49853.69416,10169,9001,-33090,4714.305844,-40648,70.651,69.8,0.07,46.88118386,0.0256816,54.296955,0.073990773,0.063958333,0.007679399,295849,35143,0.120158141,2506,54592,-832307,-1115013,-68437,19.73665636,397066,263802,1092357,908419,13182538.9
1998,577533,78135,513940,-1169608,679941,1299435.837,22233.43229,77412,562925,-562925,82335.37342,-43927.37342,628555,727844,21979,99289,0.05314181,0.055011548,0.055011548,0.072712126,199624,-0.013600757,0.038816992,0.042567586,5521,-5521,50305,-55825.99997,239498,38408,15700,37855.94654,62467,224747,7186436.294,-504062,-205507,709569,609760,-609760,20305.5,23111.2,2254978,-710350,916,99815,73750.46305,723555,-187686.463,129827.837,-29992.99999,-31367,-9407,-39390,27144.99999,83012,72.348,71.2,0.07,49.09148992,0.024019476,56.08608505,0.065547677,0.047916667,0.009054382,316279,58835,0.121400014,-27486.99999,23225,-967172,-1225685.374,-57858.62597,19.4682229,395312,274042,1138856,976260,13879204.32
1999,610019,75776,438237,-1124032,710248,1331446.083,5841.003821,-45576,750109,-750109,77319.76733,-47515.76733,769879,751737,34128,-18142,0.044572985,0.057945156,0.057945156,0.051019215,206206,0.025470815,-0.005105057,0.031868823,5795,-5795,56333,-62127.99991,251717,29804,13073,32861.26541,54993,237770,7427689.878,-572790,-239433,812223,610642,-610642,20553.9,23279.3,2451287,-790491.229,17381,119912,84559.94115,835399,-266760.712,207414.083,54390.77085,7804,20097,36238,-137967.7708,19438,73.46,72.3,0.07,51.14268952,0.015370155,57.17406429,0.053869249,0.027083333,0.009490012,330594,62587,0.117073967,26903.77086,31029,-1202987,-1246886.142,-59346.62901,19.96409441,410340,272643,1175150,906557,14675566.04
2000,557294,85500,503323,-1146117,751730,1353249.17,13658.36667,22085,747248,-747248,73796.63409,-37943.63409,604125,796938,90214,192813,0.058404952,0.08944358,0.08944358,0.222090681,220195,0.0256937,0.166991267,0.05647194,6644,-6644,59394,-66038.00002,307621,35853,17088,29889.42601,53814,259037,8947951.633,-641875,-273340,915215,631780,-631780,20876.4,23418.8,2633127,-972261.5919,31139,146762,61482.39458,964722,-231843.8027,207132.17,-151792.3627,19572,26850,11307,48877.36266,45186,74.776,74.2,0.07,53.49209858,0.017914511,59.46968826,0.053633138,0.040416667,0.010516319,340841,66311,0.108562352,-124888.5918,50601,-1242361,-1291766.775,-24711.63274,20.47704585,427487,318172,1241513,933570,17137543.71
2001,534469,86881,566961,-1188311,775878,1420206.282,21991.21566,42194,736025,-736025,66835.50773,-27172.50773,600451,836566,85428,236115,0.032123236,0.049367465,0.049367465,0.033814336,239959,0.033848705,0.051311869,0.050441679,8156,-8156,49167,-57323,318023,39663,16530,28284.35656,52025,271825,9624104.649,-688808,-303134,991942,690239,-690239,21305.5,23573.9,2578469,-750012.0888,41012,118038,35165.99928,839211,-283414.9104,231895.282,219204.503,19969,-28724,-39512,-160604.503,-10333,77.045,75.9,0.07,55.53048679,0.030343961,61.21128347,0.052920481,0.0425,0.011816197,356714,68186,0.096225062,94315.91116,70570,-1306795,-1385040.283,-51519.62844,21.17016733,451041,334498,1304137,721220,18063016.94
2002,511446,65401,637330,-1214177,798351,1436675.576,27651.19004,25866,777177,-777177,57110.54701,-15749.54701,640641,862921,142471,222280,0.028964605,0.071523958,0.071523958,0.004147499,250419,0.023527897,-0.014750462,0.035365916,8970,-8970,53408,-62377.99989,319342,41361,17230,24976.09103,46028,291267,9453600.425,-716643,-336487,1053130,716998,-716998,21695.7,23902.1,2644082,-750854.5459,17177,112974,-2060.253834,795656,-172892.2002,222498.576,11377.54285,-50370,-5064,-7101,-60190.54285,111348,79.567,77.9,0.07,57.46073809,0.032734116,62.23624958,0.048834268,0.032083333,0.012510495,361173,71440,0.092309881,105693.454,20200,-1380846,-1438735.83,49606.37582,21.66825684,470108,329564,1350259,863964,17984691
2003,511490,68819,642341,-1222650,828304,1471401.115,42190.35674,8473,747473,-747473,56011.71308,-23016.71308,620784,889422,172938,268638,0.037518585,0.01414853,0.01414853,-0.002192007,264649,0.029972162,-0.013866806,0.032907761,8975,-8975,64267,-73241.99977,318642,32995,14382,22985.74681,47510,295388,8197401.459,-773097,-371352,1144449,754034,-754034,21995.5,24141.3,2700003,-838911.8331,28361,109857,4189.571659,863240,-166735.7384,248751.115,-33725.28729,3738,-3117,39824,-45480.71271,38761,82.072,80.1,0.07,59.7327666,0.031482901,63.4081062,0.0449388,0.0225,0.011902646,359684,74195,0.088885023,71968.16672,23938,-1410713,-1467211.543,82015.37662,22.31770135,490889,324994,1394693,884225,16579854.78
2004,481986,74525,718263,-1274774,856707,1526387.269,40115.57605,52124,857892,-857892,50470.26032,-18005.26032,763965,928606,220780,164641,0.03429055,0.045401303,0.045401303,0.067470704,278255,0.020881782,0.072939808,0.041318054,8639,-8639,76070,-84709.00037,340141,32465,14173,20394.58161,46295,308799,7810609.879,-806836,-421412,1228248,784680,-784680,22364.2,24277.5,2882548,-865362.5755,35521,112321,-28532.53454,867055,-121001.8904,251613.269,-3137.7418,1399,2464,-26434,-31445.2582,57154,84.263,81.9,0.07,63.09250196,0.026696072,64.93945681,0.042313639,0.02,0.011009584,374489,74916,0.078809597,68830.42492,25337,-1552407,-1554919.804,130611.3786,22.78373472,509540,348699,1452319,1039252,16589586.29
